sent_id,original,Tarık_v2.8,Tarık_v2.11,Akif_v2.8,Akif_v2.11,llm_v2.8,llm_v2.11
news_1344,Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetlerin de azalacağı belirtildi.,Bu kararla polise ve savcılığa bu yönde yapılmış şikayetlerin de azal belirtilmişti.,Bu kararla polise ve savcılığa bu yönde yapılmış şikayetlerin de azalacağı belirtilmişti.,bu kararla polise ve savcılığa bu yönde yapılan şikayetlerin de azal belirtildi.,bu kararla polise ve savcılığa bu yönde yapılan şikayetlerin de azalacağı belirtildi.,"""Bu kararla polise ve savcılığa bu yönde yapılan şikâyetlerde azalış belirlendi.""","""Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetler de azalacak belirlendi."""
ins_1085,Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkıp sürüler hâlinde göle doğru uçarlar.,Asla yollarını şaşırmazlar! Her akşam tarlalardan kalk sürüler hâlinde göle doğru Uçar.,Asla yollarını şaşırmazlar! Her akşam tarlalardan kalk sürüler hâlinde göle doğru uç.,asla yollarını şaşırmazlar ! her akşam tarlalardan kalk sürüler hallinde göle doğru Uçarlar.,asla yollarını şaşırmazlar ! her akşam tarlalardan kalk sürüler halinde göle doğru uçlar.,"""Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkan sürüler hâlinde göle doğru uçarlar.""","""Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkan sürüler hâlinde göle doğru uçarlar."""
ins_1037,Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.,Hem bir şeyler sat hem bir şeyler al gel.,Hem bir şeyleri satmaya hem bir şeyleri alarak gelmeye.,hem bir şeyler satmaya hem bir şeyler al gelmeye,hem bir şeyleri satmaya hem bir şeyleri alıp gemeye.,"""Hem bir şeyleri sat hem bir şeyleri al gel.""","""Hem bir şeyleri satmaya hem bir şeyleri alıp gelmeye."""
bio_1990,Bizim Şefik dert dağıtım merkezi sanki.,Bizlerin Şefik dert dağıtım merkezi sanki.,Bizlerin Şefik dert dağıtım merkezi sanki.,bizlerin Şefik dert dağıtım merkezi sanki.,bizlerin Şefik dert dağıtım merkezi sanki,"""Bizim Şefik dert dağıtım merkezi sanki.""","""Bizim Şefik dert dağıtım merkezi sanki."""
pop_1612,Soğanı yemeklik doğrayın.,Soğanı yemek doğrayın.,Soğanı yemeklik doğrayın.,soğanı yemek doğrayın.,soğanı yemeklik doğrayın.,"""Soğanı yemeği doğrayın.""","""Soğanı yemeklik doğrayın."""
ins_1076,"Etkinlikler söz konusu olduğunda ilk akla gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlılıktır.","Etkinler söz konusu ol ilk akla gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlıdır.",Etkinlikler söz konusu olduğunda ilk akla gelen kriter markanın/kurumun iletişim stratejisiyle tutarlılığıdır.,"etkinler söz konusu ol ilk akla gelen kriter, markanın /kurumun iletişim stratejisiyle tutarlıdır.","etkinlikler söz konusu olduğunda ilk akla gelen kriter, markanın /kurumun iletişim statejisiyle tutarlılığıdır.","""Etkinler söz konusu olunca ilk aklına gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlıdır.""","""Etkinlikler söz konusu olduğunda ilk aklıma gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlılığıdır."""
bio_1762,Mahmut'un düzeni bozulabilirdi.,Mahmut'un düzeni bozulabilirdi.,Mahmut'un düzeni bozulurdu.,Mahmut düzeni bozuldu.,Mahmut'un düzeni bozulurdu.,"""Mahmut'un düzeni bozulabilmiş.""","""Mahmut'un düzenini bozuyordu."""
news_1406,Dönerken de soruyorsunuz...,Dönerken de soruyorduk...,Dönerken de soruyorduk...,dönerken de sor...,dönerken de sor...,"""Dönerken de soruyorsunuz...""","""Dönen de sorunuz..."""
bio_1380,Her taraf güneş altında pırıl pırıldı.,Her taraf Güneş altında pırıl pırıldı.,Her taraf güneş altında pırıl pırıldı.,her taraf Güneş altında pırıl pırıldandı.,her taraf güneş altıında pırıl pırıldı.,"""Her taraf Güneş altında pırıl pırıl parladı.""","""Her taraf güneşin altı pırıl pırıldı."""
pop_1761,"Kaş: Gözün hemen üstünde bir çizgi halinde bulunan kaş, bazen de şekilsiz ve iri bir küme olarak sırt ve kulunçlarda yeşerir.","Kaş: gözün hemen üstünde bir çizgi hâlinde bulunan kaş, bazen de şekil ve iri bir küme ol sırt ve kulunçlarda yeşerir.","Kaş: gözün hemen üstünde bir çizgi hâlinde bulunan kaş, bazen de şekil ve iri bir küme olarak sırt ve kulunçlarda yeşerir.","kaş : gözün hemen üstünde bir çizgi halinde bulunan kaş, bazen şekil ve iri olup sırt ve kulunçlarda yeşerir. ","kaş : gözün hemen üstünde bir çizgi halinde bulunan kaş, bazen de şekil ve iri bir küme olup sırt ve kulunçlarda yeşerir.","""Kaş: Gözün hemen üstünde bir çizgi hâlinde bulunan kaş, bazen de şekil ve iri bir küme olarak sırt ve kulunçlarda yeşerir.""","""Kaş: Gözün hemen üstünde bir çizgi hâlinde bulunur, kaş, bazen de şekil ve iri bir küme olur; sırt ve kulunçlarda yeşerir."""
ess_329,"Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girişin, İslamcı kökenli bir partinin iktidara gelişinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye gir,İslam köken bir partinin iktidara gelmesinin etki ve bunlara tepki ol, milliyetçilik yüksel başlamıştı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye gir, İslamcı kökenli bir partinin iktidara gelmesinin etkisiyle ve bunlara tepki olarak milliyetçilik yükselmeye başlamıştı.","birkaç yıldır, Kürt, Kıbrıs, Ermeni, ve diğer azınlık sorunlarının, AB'ye girmenin, İslam köken bir partinin iktidara gelmesinin etki ve bunlara tepki ol, milliyetçilik yükselmeye başladı.","birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslam kökenli bir partinin iktidara gelmesinin etkisiyle ve buna tepki olan, milliyetçilik yükselmeye başladı.","""Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlıkların sorunları, AB'ye girişi, İslam kökenli bir partinin iktidara gelmesi ve bu tepkilere oluşan etkiler, milliyetçiliğin yükselişe başladığını gösteriyor.""","""Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlığın sorunları, AB'ye girişi, İslamcı kökenli bir partinin iktidara gelmesini ve bu tepkileri, milliyetçiliğin yükselişine başladı."""
bio_390,Yarın işim çok.,Yarın işi çok.,Yarın işi çok.,yarın işi çok.,yarın işi çok.,"""Yarın işim çok.""","""Yarın işim çok."""
pop_62,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş.","""İstanbul aslında deprem kuşağının tam göbeğindeymiş.","""İstanbul aslında deprem kuşağının tam göbeğindeymiş.",İstanbul aslında deprem kuşağının tam göbeğindeymiş,İstanbul aslında deprem kuşağının tam göbeğindeymiş,"""İstanbul aslında depremin kuşağındaki göbeğindeydi.""","""İstanbul aslında deprem kuşağının tam göbeğindeydi."""
ess_624,"Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.","Ben yani neredeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.","Ben yani neredeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.","ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktora","ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkünü""  addedilebilirim doktora.","""Ben yani nerdeyse bir Christian Scientist üyesi kadar düşkün addedilirim doktorlara.""","""Ben yani nerdeyse bir Christian Scientist üyesi kadar """"düşkünü"""" addederim doktorlara."""
